"August 13, 2017",9,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Peter Steinberg
"August 13, 2017",10,Of Mess and Moxie,Jen Hatmaker,Thomas Nelson,Marc Gerald
"August 13, 2017",11,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Marc Gerald
"August 13, 2017",12,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Jan Miller
"August 13, 2017",13,You Are a Badass,Jen Sincero,Running Press,Kathy Robbins
"August 13, 2017",14,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Peter McGuigan
"August 13, 2017",15,The Big Lie,Dinesh D'Souza,Regnery Publishing,Jennifer Rudolph Walsh
"August 13, 2017",16,The 5 Second Rule,Mel Robbins,Savio Republic,Mollie Glick
"August 13, 2017",17,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Tina Bennett
"August 13, 2017",18,Killers of the Flower Moon,David Grann,Doubleday,Nicole Tourtelot
"August 13, 2017",19,Publication Manual of the American Psychological Association,American Psychological Association,American Psychological Association (APA),Robert Barnett
"August 13, 2017",20,Born a Crime,Trevor Noah,Spiegel & Grau,Betsy Lerner
"August 20, 2017",1,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"August 20, 2017",2,The Glass Castle,Jeannette Walls,Scribner,Jennifer Rudolph Walsh
"August 20, 2017",3,My Favorite Universe,Neil deGrasse Tyson,The Great Courses,Tina Bennett
"August 20, 2017",4,Solar Eclipse Road Trip,Science Across America,CreateSpace Independent Publishing Platform,Robert Barnett
"August 20, 2017",5,Hillbilly Elegy,J.D. Vance,Harper,Betsy Lerner
"August 20, 2017",6,Make Your Bed,William H. McRaven,Grand Central Publishing,Gail Ross
"August 20, 2017",7,The Big Lie,Dinesh D'Souza,Regnery Publishing,James Bell
"August 20, 2017",8,Publication Manual of the American Psychological Association,American Psychological Association,American Psychological Association (APA),Peter Steinberg
"August 20, 2017",9,"Al Franken, Giant of the Senate",Al Franken,Twelve,Jan Miller
"August 20, 2017",10,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Marc Gerald
"August 20, 2017",11,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Marc Gerald
"August 20, 2017",12,10% Happier,Dan Harris,Dey Street Books,Mollie Glick
"August 20, 2017",13,Devil's Bargain,Joshua Green,Penguin Press,Jennifer Rudolph Walsh
